chr	start	stops	name	p-value
chr1	2005058	2005158	PRKCZ|ENST00000495347.1	3.03320010237945e-06
chr1	3755674	3755774	CEP104|ENST00000443466.1	0.00244275980970342
chr1	6270995	6271095	RNF207|ENST00000492476.1	0.00247285113154242
chr1	10092916	10093016	UBE4B|ENST00000377157.3	0.00309308441818863
chr1	27101261	27101361	ARID1A|ENST00000532781.1	0.00341550843731708
chr1	27676138	27676238	SYTL1|ENST00000485269.1	0.00341550843731708
chr1	28832355	28832455	RCC1|ENST00000398958.2	0.00279759841374689
chr1	36930038	36930138	MRPS15|ENST00000373116.5	0.00300227008939544
chr1	36929946	36930046	MRPS15|ENST00000462067.1	0.00300227008939544
chr1	70703064	70703164	SRSF11|ENST00000463859.1	0.0043097743365748
chr1	79472403	79472503	ELTD1|ENST00000370742.3	0.00637791427002459
chr1	113051300	113051400	WNT2B|ENST00000369684.4	0.00314244265151408
chr1	146697465	146697565	FMO5|ENST00000533848.1	0.00185884439013577
chr1	154999069	154999169	DCST2|ENST00000467991.2	0.00292986744380917
chr1	157559041	157559141	FCRL4|ENST00000448509.2	0.0047667719910317
chr1	158223827	158223927	CD1A|ENST00000289429.5	0.00708652097968411
chr1	160617085	160617185	SLAMF1|ENST00000302035.6	0.00392828798554973
chr1	160617081	160617181	SLAMF1|ENST00000235739.5|ENST00000355199.3	0.00392828798554973
chr1	174128628	174128728	RABGAP1L|ENST00000457696.1	0.00368944853079508
chr1	192127487	192127587	RGS18|ENST00000367460.3	0.00587177648586276
chr1	192127515	192127615	RGS18|ENST00000481707.1	0.00587177648586276
chr1	205389702	205389802	LEMD1|ENST00000367152.1	0.0032619903089847
chr1	207242669	207242769	PFKFB2|ENST00000473310.1	0.00403338104299746
chr1	212977861	212977961	TATDN3|ENST00000527693.1	0.00315252585198743
chr1	213302770	213302870	RPS6KC1|ENST00000468069.1	0.00303914155208232
chr1	228585390	228585490	TRIM11|ENST00000475775.1	0.00382699939399329
chr1	244998818	244998918	COX20|ENST00000366528.3	0.00408311524298131
chr2	1517105	1517205	TPO|ENST00000479902.1	0.00386030219665322
chr2	9614559	9614659	IAH1|ENST00000497473.1	0.00346795400910612
chr2	9614566	9614666	IAH1|ENST00000470914.1	0.00346795400910612
chr2	9614568	9614668	IAH1|ENST00000492223.1	0.00346795400910612
chr2	9614593	9614693	IAH1|ENST00000495050.1	0.00346795400910612
chr2	9614604	9614704	IAH1|ENST00000481367.1|ENST00000545602.1	0.00346795400910612
chr2	9614607	9614707	IAH1|ENST00000351760.7	0.00346795400910612
chr2	25391473	25391573	POMC|ENST00000395826.2	0.0029350284429481
chr2	27886507	27886607	SUPT7L|ENST00000406540.1	0.00318391181575112
chr2	27886506	27886606	SUPT7L|ENST00000405491.1|ENST00000464789.2	0.00318391181575112
chr2	27886490	27886590	SUPT7L|ENST00000404798.2	0.00318391181575112
