chr	start	stops	name	p-value
chr1	1141060	1141160	TNFRSF18|ENST00000486728.1	0.0158795911061484
chr1	1222389	1222489	SCNN1D|ENST00000379099.3	0.0158795911061484
chr1	1452350	1452450	ATAD3A|ENST00000439513.1	0.0158795911061484
chr1	2319948	2320048	MORN1|ENST00000607031.1	0.0158795911061484
chr1	2564429	2564529	MMEL1|ENST00000378412.3	0.0158795911061484
chr1	2564418	2564518	MMEL1|ENST00000511099.1	0.0158795911061484
chr1	3160596	3160696	PRDM16|ENST00000463591.1	0.0158795911061484
chr1	4771115	4771215	AJAP1|ENST00000466761.1	0.0134437722482294
chr1	6580069	6580169	PLEKHG5|ENST00000377748.1|ENST00000377737.2	0.0134437722482294
chr1	6580121	6580221	PLEKHG5|ENST00000377740.3	0.0134437722482294
chr1	8877524	8877624	RERE|ENST00000337907.3	0.0211704972096353
chr1	11133083	11133183	EXOSC10|ENST00000469634.1	0.0192508505114411
chr1	12467207	12467307	VPS13D|ENST00000476045.1	0.000185287466885289
chr1	20354823	20354923	PLA2G5|ENST00000465698.1	0.0200073229152094
chr1	20354827	20354927	PLA2G5|ENST00000460175.1	0.0200073229152094
chr1	21044273	21044373	KIF17|ENST00000400463.3	0.0164575395769253
chr1	21377487	21377587	EIF4G3|ENST00000264211.8	0.0164575395769253
chr1	24287358	24287458	PNRC2|ENST00000579103.1	0.019947354720249
chr1	24306821	24306921	SRSF10|ENST00000344989.6|ENST00000473858.1|ENST00000485292.1	0.019947354720249
chr1	24306786	24306886	SRSF10|ENST00000453840.3	0.000203102965530567
chr1	24306846	24306946	SRSF10|ENST00000484146.2	0.019947354720249
chr1	24306798	24306898	SRSF10|ENST00000374452.5	0.019947354720249
chr1	24306784	24306884	SRSF10|ENST00000374453.3	0.000203102965530567
chr1	24306817	24306917	SRSF10|ENST00000343255.5	0.019947354720249
chr1	24306809	24306909	SRSF10|ENST00000492112.2	0.019947354720249
chr1	24306761	24306861	SRSF10|ENST00000495785.1	0.019947354720249
chr1	25757288	25757388	TMEM57|ENST00000399766.3|ENST00000399763.3	0.0206212806613297
chr1	26857719	26857819	RPS6KA1|ENST00000529454.1|ENST00000374162.2	0.0194128967031622
chr1	27684299	27684399	MAP3K6|ENST00000495230.1	0.019218638616257
chr1	28136658	28136758	STX12|ENST00000472285.1	0.019741073252997
chr1	28562520	28562620	ATPIF1|ENST00000497986.1	0.019741073252997
chr1	28562544	28562644	ATPIF1|ENST00000335514.5	0.019741073252997
chr1	28562553	28562653	ATPIF1|ENST00000468425.2	0.019741073252997
chr1	28918927	28919027	RAB42|ENST00000465518.1	0.019741073252997
chr1	29487075	29487175	SRSF4|ENST00000497015.1	0.019741073252997
chr1	33116643	33116743	RBBP4|ENST00000414241.3	0.0184074674771374
chr1	33116649	33116749	RBBP4|ENST00000373493.5	0.0184074674771374
chr1	33116679	33116779	RBBP4|ENST00000527118.1	0.0184074674771374
chr1	33283754	33283854	YARS|ENST00000373477.4	0.0184074674771374
chr1	33336414	33336514	FNDC5|ENST00000373471.3|ENST00000609187.1	0.0184074674771374
chr1	33841194	33841294	PHC2|ENST00000431992.1|ENST00000257118.5|ENST00000373416.1	0.0184074674771374
chr1	35497569	35497669	ZMYM6|ENST00000373340.2|ENST00000357182.4	0.0202741601092543
chr1	35497536	35497636	ZMYM6|ENST00000471566.1	0.0202741601092543
chr1	36235568	36235668	CLSPN|ENST00000251195.5	0.0199485548417164
chr1	36606599	36606699	TRAPPC3|ENST00000462715.1	0.0199485548417164
chr1	36644522	36644622	MAP7D1|ENST00000487114.1	0.0199485548417164
chr1	38156192	38156292	C1orf109|ENST00000358011.4|ENST00000461359.1	0.0176776665263715
chr1	38474830	38474930	UTP11L|ENST00000483182.1	0.0176776665263715
chr1	40036847	40036947	PABPC4|ENST00000525751.1	0.0236224012003936
chr1	40036867	40036967	PABPC4|ENST00000529216.1	0.0236224012003936
chr1	42744258	42744358	FOXJ3|ENST00000454417.1	0.0169497401646096
chr1	43832258	43832358	ELOVL1|ENST00000470769.1	0.0203406165078359
chr1	44173116	44173216	ST3GAL3|ENST00000489897.1	0.0188333349315405
