gene	len	ct	mu	sigma	region	p-value
RPL22	409	0	121.955120077845	0.0236069799037587	reg7	1.0076486367062e-08
PTCHD2	4217	3	126.928795504057	0.0236069799037587	reg12	0.0349319380412574
PADI2	2002	2	131.049422756826	0.0236069799037587	reg19	0.0377834918553881
ACTL8	1101	0	131.049422756826	0.0236069799037587	reg19	0.0189593398944244
ARID1A	6858	3	141.776251607553	0.0236069799037587	reg28	9.48024564355681e-09
PHACTR4	2155	0	124.98459651806	0.0236069799037587	reg29	0.0301995743252084
AL109659.1	573	0	141.970732913245	0.0236069799037587	reg49	1.39962528811336e-05
AL139147.1	546	0	120.618717213316	0.0236069799037587	reg68	0.00378152150047112
LRRIQ3	2041	0	168.791861152523	0.0236069799037587	reg75	0.000186332778821298
LPPR4	2356	2	166.791636213062	0.0236069799037587	reg100	0.0213014531036074
AC093157.1	372	0	154.729426857691	0.0236069799037587	reg102	0.00858892358531366
NRAS	570	0	123.458671443359	0.0236069799037587	reg116	0.0289937399948058
GJA8	1302	0	137.594834017078	0.0236069799037587	reg148	0.0002478257516249
MRPS21	264	0	129.713697335162	0.0236069799037587	reg151	0.0383221801844438
ADAMTSL4	3369	0	129.713697335162	0.0236069799037587	reg151	0.0479682686377102
HRNR	8553	1	207.056332805153	0.0236069799037587	reg153	0.0348511039767401
FLG	12186	4	207.056332805153	0.0236069799037587	reg153	0.0345705539840171
LCE2C	333	0	207.056332805153	0.0236069799037587	reg153	0.00933975007170638
OR6N2	954	0	280.882369556911	0.0236069799037587	reg159	0.0204283779226002
AIM2	1032	1	185.477688697703	0.0236069799037587	reg160	2.54752957809187e-05
OR10J3	990	2	185.477688697703	0.0236069799037587	reg160	0.00500421427944619
ADAMTS4	2577	0	151.496258882413	0.0236069799037587	reg162	0.0162955305837417
LMX1A	1149	0	134.459444235439	0.0236069799037587	reg166	0.0466094814968716
FMO1	1599	0	139.663863861715	0.0236069799037587	reg172	0.0372206307146907
DDX59	2156	0	156.704521244109	0.0236069799037587	reg201	0.0389021223020663
CSRP1	651	0	124.646446604293	0.0236069799037587	reg202	0.0257625155625312
ELF3	1116	0	124.646446604293	0.0236069799037587	reg202	0.023979520750921
PIGR	2295	1	130.065251769278	0.0236069799037587	reg208	0.0135613717996504
PARP1	3268	0	116.329593328298	0.0236069799037587	reg227	1.4755453974237e-05
ADCK3	1944	0	127.830909418127	0.0236069799037587	reg228	0.0484888934734622
PCNXL2	6807	3	126.933342087627	0.0236069799037587	reg233	0.00673959908992603
NID1	3744	1	139.359490018257	0.0236069799037587	reg235	0.0400074343022494
SMYD3	1305	1	142.728283666977	0.0236069799037587	reg247	0.0226723131587758
GCSAML	781	0	194.284844986954	0.0236069799037587	reg248	0.0243774957946484
OR13G1	924	0	194.284844986954	0.0236069799037587	reg248	0.040944447804164
OR14K1	945	0	194.284844986954	0.0236069799037587	reg248	0.0437994352911968
OR11L1	969	0	194.284844986954	0.0236069799037587	reg248	0.0471946666133547
OR2T4	1047	1	194.284844986954	0.0236069799037587	reg248	0.00390753041893006
SFMBT2	2768	0	122.60725683564	0.0236069799037587	reg1686	0.0136971228401761
MTRNR2L5	75	0	249.806406373018	0.0236069799037587	reg1736	0.00882100747503795
TFAM	861	0	143.365342789667	0.0236069799037587	reg1739	0.00491438766542233
KCNMA1	4744	0	122.697414399408	0.0236069799037587	reg1758	0.00539872530468944
ZCCHC24	933	0	177.851755257372	0.0236069799037587	reg1760	0.049220357876154
PTEN	1212	1	136.093649641646	0.0236069799037587	reg1768	0.00519752571759132
TNKS2	3501	0	118.435677571352	0.0236069799037587	reg1772	0.0335247797968854
ENTPD7	1815	2	127.22095403429	0.0236069799037587	reg1780	0.036139131128136
ENO4	1961	0	180.499238106565	0.0236069799037587	reg1797	0.0354767762985078
TTC40	8520	6	257.901787459992	0.0236069799037587	reg1813	0.037676886847896
GPR123	3843	0	257.901787459992	0.0236069799037587	reg1813	0.0127081844004702
AP2A2	3093	0	163.507488655022	0.0236069799037587	reg1816	0.00826827433518917
MUC6	7675	1	163.507488655022	0.0236069799037587	reg1816	0.0130743873175508
OR52B4	945	0	197.820527838055	0.0236069799037587	reg1818	0.00394138221785611
OR51E1	957	0	197.820527838055	0.0236069799037587	reg1818	0.0206554552819656
OR51E2	963	1	197.820527838055	0.0236069799037587	reg1818	0.0210718416841326
OR51T1	1065	0	197.820527838055	0.0236069799037587	reg1818	0.0289384888924194
OR52N5	975	0	204.36848229606	0.0236069799037587	reg1819	0.0017740094145447
OR52E4	939	0	204.36848229606	0.0236069799037587	reg1819	0.0325373313850088
OR2AG2	951	0	168.43837346649	0.0236069799037587	reg1821	0.0206445276325145
ALX4	1236	0	114.332931290201	0.0236069799037587	reg1858	4.82582822251564e-05
OR4C6	930	0	222.324062348058	0.0236069799037587	reg1870	0.040740064928842
OR5L2	936	0	222.324062348058	0.0236069799037587	reg1870	0.0415359294675955
OR8I2	933	0	222.324062348058	0.0236069799037587	reg1870	0.0101976705275827
OR8K1	960	1	222.324062348058	0.0236069799037587	reg1870	0.0114074247699842
OR1S2	978	0	153.098078568289	0.0236069799037587	reg1871	0.0235244282158421
OR1S1	978	0	153.098078568289	0.0236069799037587	reg1871	0.000873458315473038
FAM111B	2205	0	171.686905251904	0.0236069799037587	reg1872	0.00081319052467721
SLC22A24	1795	0	147.902974715702	0.0236069799037587	reg1876	0.0117430295955122
EHD1	1647	1	127.25154405486	0.0236069799037587	reg1878	0.0301989642584721
CFL1	618	0	115.63651463667	0.0236069799037587	reg1879	0.0231416776456017
CABP4	879	0	261.178542813098	0.0236069799037587	reg1881	0.048604424323601
B3GNT6	1158	1	134.024729865148	0.0236069799037587	reg1890	0.0261521084164706
NDUFC2-KCTD14	345	0	136.806702371118	0.0236069799037587	reg1891	0.000474083035055626
NDUFC2	412	0	136.806702371118	0.0236069799037587	reg1891	0.000912851991504052
TRIM64B	1350	0	180.508230833565	0.0236069799037587	reg1903	0.0406248092847853
MTNR1B	1264	0	169.700714151243	0.0236069799037587	reg1906	0.00229234652745366
CASP5	1344	1	157.935908449979	0.0236069799037587	reg1918	0.0098436160184246
NCAM1	3074	1	118.48360207828	0.0236069799037587	reg1926	0.0141503393049277
HTR3A	1573	1	119.443884561367	0.0236069799037587	reg1927	0.032609188799077
TAGLN	606	0	121.864822038737	0.0236069799037587	reg1931	0.018254616614367
CD3G	549	0	149.084231876746	0.0236069799037587	reg1932	0.019409740275806
CACNA1C	7332	1	171.684248625379	0.0236069799037587	reg1951	0.039388494114272
LPAR5	1119	1	104.712481655235	0.0236069799037587	reg1955	0.0199583869301807
KRAS	708	0	149.323748212471	0.0236069799037587	reg1974	0.0149335890055758
POU6F1	906	1	133.351204699719	0.0236069799037587	reg2000	0.017761476583509
PPP1R1A	682	0	108.945147655952	0.0236069799037587	reg2003	0.0483658165600617
ERBB3	4212	0	114.721539861542	0.0236069799037587	reg2005	0.0241852966077078
MBD6	3015	0	138.452745873522	0.0236069799037587	reg2006	0.000138446119227259
AVPR1A	1280	1	137.608125366208	0.0236069799037587	reg2012	9.87672695545337e-05
TMBIM4	858	0	136.923087953326	0.0236069799037587	reg2015	0.0135127348205492
ASCL4	522	0	189.487992880903	0.0236069799037587	reg2057	0.0281336569127372
CCDC63	1692	0	133.894126547744	0.0236069799037587	reg2060	0.0382247218959881
RPL6	867	0	133.602760724959	0.0236069799037587	reg2061	1.66272674560895e-08
TMEM132B	3237	1	127.458546443132	0.0236069799037587	reg2074	0.0409565230519753
AL138815.2	258	0	141.630430563277	0.0236069799037587	reg2108	0.0379958724155635
PDS5B	4344	0	108.412376466829	0.0236069799037587	reg2115	0.00350782459152907
DCLK1	2373	0	136.388226876098	0.0236069799037587	reg2118	0.0310576395907764
NUFIP1	1488	0	112.462266082649	0.0236069799037587	reg2127	0.0328723106961547
EBPL	864	0	112.264566744774	0.0236069799037587	reg2132	0.0177740966531735
THSD1	2559	0	143.224347465183	0.0236069799037587	reg2134	0.0314343575175599
PCDH17	3480	2	236.665781008667	0.0236069799037587	reg2140	0.00800863301409059
UPF3A	1431	0	188.454852532068	0.0236069799037587	reg2195	0.00491689406076635
SFTA3	285	0	148.033880538824	0.0236069799037587	reg2233	0.0373204890481768
RPL10L	645	0	220.449554929683	0.0236069799037587	reg2244	0.0235377526431204
HSP90AA1	2589	0	171.451022341684	0.0236069799037587	reg2299	0.0242205932876795
KIF26A	5649	2	169.614126223199	0.0236069799037587	reg2301	0.0313571409184265
OCA2	2573	0	221.862906891424	0.0236069799037587	reg2332	0.0234279964413935
THBS1	3513	1	117.278185732254	0.0236069799037587	reg2343	0.00950657474300634
PHGR1	249	0	93.0038318064945	0.0236069799037587	reg2344	0.00135217513571096
CAPN3	2775	0	116.034459542094	0.0236069799037587	reg2346	0.010593299382363
ANP32A	758	1	129.872449734059	0.0236069799037587	reg2373	0.0382938596356127
KIAA1024	2751	0	135.16839982005	0.0236069799037587	reg2383	0.00583998895531733
MPG	921	0	176.716356882379	0.0236069799037587	reg2407	0.00829824424196123
C16orf11	1716	0	176.716356882379	0.0236069799037587	reg2407	0.00390934690127825
RAB40C	846	0	176.716356882379	0.0236069799037587	reg2407	0.00621271270063302
TPSD1	729	0	176.716356882379	0.0236069799037587	reg2407	0.00370617980687246
TSC2	5648	1	151.226413348483	0.0236069799037587	reg2408	0.0354942370966363
AMDHD2	1823	0	151.226413348483	0.0236069799037587	reg2408	0.0147331189942279
C16orf71	1614	0	140.411060882361	0.0236069799037587	reg2410	0.0251666043298636
SEC14L5	2091	0	239.076149548025	0.0236069799037587	reg2411	0.0290253310763667
TEKT5	1458	0	169.372603321291	0.0236069799037587	reg2416	0.0267892450476291
TVP23A	642	0	169.372603321291	0.0236069799037587	reg2416	0.0372700452400353
MKL2	3720	0	122.855812865491	0.0236069799037587	reg2420	0.041492723444373
ABCC1	4626	1	215.663327772524	0.0236069799037587	reg2422	0.0277250943445006
GPRC5B	1338	0	122.033626388207	0.0236069799037587	reg2425	0.0449469642193455
CCDC101	882	0	161.736578259369	0.0236069799037587	reg2434	0.0252707089125234
SULT1A1	1026	0	161.736578259369	0.0236069799037587	reg2434	0.0369256615633693
CORO1A	1494	1	141.334184490963	0.0236069799037587	reg2436	0.0139593069188549
IRX3	1567	0	121.819548384942	0.0236069799037587	reg2460	0.016743599583116
CDH1	2649	0	121.71180360103	0.0236069799037587	reg2474	4.05192743903285e-11
TXNL4B	519	0	121.052791448875	0.0236069799037587	reg2478	0.0262914179430184
C16orf47	402	0	157.332816891764	0.0236069799037587	reg2479	0.0221009881105729
TP53	1378	0	131.283009751374	0.0236069799037587	reg2503	1.9691120715001e-62
PEMT	745	0	144.880907338141	0.0236069799037587	reg2513	0.0288302525430836
NOS2	3462	0	124.550279424004	0.0236069799037587	reg2522	0.0462001669320749
TMEM97	539	0	124.550279424004	0.0236069799037587	reg2522	0.0143565658736489
ERBB2	3917	0	124.92875749618	0.0236069799037587	reg2533	0.0195365118588274
CSF3	652	0	128.219330527656	0.0236069799037587	reg2534	0.0297794439153923
KRT26	1407	0	128.219330527656	0.0236069799037587	reg2534	0.015795902123534
KRTAP4-8	558	0	166.553345875102	0.0236069799037587	reg2535	0.0217443966395003
KRT35	1368	0	166.553345875102	0.0236069799037587	reg2535	0.000777927657375904
DNAJC7	1523	0	144.04784892208	0.0236069799037587	reg2536	0.0271439521529074
PSME3	885	0	144.04784892208	0.0236069799037587	reg2536	0.0168281047841584
CDC27	2493	1	158.816268075813	0.0236069799037587	reg2541	0.0314861152696891
XYLT2	2742	2	95.0316521425281	0.0236069799037587	reg2544	0.0206855604637648
RNF43	2654	0	127.260764705044	0.0236069799037587	reg2552	1.80320051546528e-05
BCAS3	3226	2	119.71472325231	0.0236069799037587	reg2555	5.81418167514539e-06
AC007461.1	153	0	121.256563649419	0.0236069799037587	reg2566	0.00860405280222241
CD300LB	721	0	169.326685512578	0.0236069799037587	reg2568	0.0343946523040011
LOXHD1	6963	0	145.649254137526	0.0236069799037587	reg2620	0.0374092511851929
SMAD4	1774	0	127.768307903969	0.0236069799037587	reg2625	0.0436125370958111
LMAN1	1533	0	196.539921394636	0.0236069799037587	reg2634	0.0451154591292744
BSG	1190	1	197.921573825692	0.0236069799037587	reg2656	0.0287251288295956
ZNF57	1668	0	184.489537430742	0.0236069799037587	reg2657	0.0332554518056121
SMARCA4	5058	0	155.120781398141	0.0236069799037587	reg2666	0.0143661323612854
OR7C1	963	0	164.441817100832	0.0236069799037587	reg2669	0.00671974274420431
RGS9BP	708	0	138.893404300948	0.0236069799037587	reg2688	0.00772581545406324
USF2	1525	1	140.436553167613	0.0236069799037587	reg2690	0.0012616666350295
KMT2B	8149	0	140.436553167613	0.0236069799037587	reg2690	0.00709403470554671
ZNF461	1692	0	131.239492403657	0.0236069799037587	reg2693	0.0135350055083779
CIC	7621	2	150.74294735291	0.0236069799037587	reg2697	0.0187100614155923
C5AR1	1053	0	164.799335989595	0.0236069799037587	reg2702	0.0275441141837743
FLT3LG	1170	0	167.298926579609	0.0236069799037587	reg2704	0.0116073705553614
PXDN	4562	1	267.553857795363	0.0236069799037587	reg251	0.035554369929646
KCNF1	1485	0	143.809351049975	0.0236069799037587	reg261	0.023778907573722
ADD2	2402	2	130.806010920193	0.0236069799037587	reg320	0.000341250651132939
FAHD2A	945	0	205.044273012891	0.0236069799037587	reg346	0.0306653916962537
ANKRD23	918	0	171.26056805263	0.0236069799037587	reg347	0.042852032993786
FAHD2B	945	2	171.26056805263	0.0236069799037587	reg347	0.0459824103293272
RPL31	510	0	133.528492106151	0.0236069799037587	reg351	0.00235585511412871
SLC35F5	1648	2	194.533570929456	0.0236069799037587	reg364	0.0184988631466179
AMER3	2586	1	211.138793733508	0.0236069799037587	reg381	0.0168969201645206
ACVR2A	1542	0	178.966800962992	0.0236069799037587	reg397	0.00118095895751122
RBM43	1278	1	119.415025448661	0.0236069799037587	reg402	0.0162688259613691
NR4A2	1830	0	151.455250752655	0.0236069799037587	reg407	0.00425049391738665
COBLL1	3919	0	134.053295019581	0.0236069799037587	reg415	0.00277782909355477
DYNC1I2	1982	0	123.546366137338	0.0236069799037587	reg422	0.00228339704681289
PDE1A	1943	1	125.763431487696	0.0236069799037587	reg433	0.00222521836882174
PLCL1	3306	2	147.320763109715	0.0236069799037587	reg448	0.00598951599861681
AGXT	1179	1	160.064785054745	0.0236069799037587	reg491	0.0259114040985481
TRIB3	1158	0	129.174520365637	0.0236069799037587	reg2715	0.00470069113651481
SPEF1	711	0	127.111971429373	0.0236069799037587	reg2717	0.0381807997406385
CST4	426	0	183.661042664128	0.0236069799037587	reg2737	0.0152550485085346
FRG1B	582	1	144.618343727505	0.0236069799037587	reg2744	9.84888277442009e-05
REM1	897	1	144.618343727505	0.0236069799037587	reg2744	0.0247338746862448
C20orf112	2131	0	130.776888414933	0.0236069799037587	reg2745	0.00985259180370958
WFDC8	726	1	158.902470974213	0.0236069799037587	reg2758	0.0393146323145179
KCNB1	2577	0	114.198386454387	0.0236069799037587	reg2762	0.00483486112363799
SLC9A8	1794	0	114.198386454387	0.0236069799037587	reg2762	0.0226503633520916
ZNF831	5034	2	134.285970214127	0.0236069799037587	reg2771	0.0308715961005652
AL118506.1	489	0	180.455664089155	0.0236069799037587	reg2774	0.000203894888520211
HSPA13	1416	1	299.489556673302	0.0236069799037587	reg2792	0.0476139575050067
COL18A1	5374	0	280.148193830828	0.0236069799037587	reg2824	0.0408876981970698
FAM230A	2858	0	208.865199005542	0.0236069799037587	reg2846	0.00149054612654982
HIC2	1848	0	208.865199005542	0.0236069799037587	reg2846	0.0218365105148033
GAL3ST1	1275	0	126.532553490593	0.0236069799037587	reg2855	0.00733452103020234
C22orf24	684	0	154.198332312492	0.0236069799037587	reg2857	0.00560191517687261
CYTH4	1321	0	134.555888777629	0.0236069799037587	reg2862	0.0460443550407531
PDGFB	744	0	159.930846199639	0.0236069799037587	reg2864	0.00547248561296896
GALNT15	2001	1	127.292061361065	0.0236069799037587	reg509	0.032538059372684
TGFBR2	1779	0	128.843583961765	0.0236069799037587	reg523	5.24032693213279e-08
SCN11A	5386	0	137.831170959999	0.0236069799037587	reg531	0.0100865002451171
SHISA5	728	0	146.093536690626	0.0236069799037587	reg541	0.0481940219938919
POC1A	1224	0	121.581301085795	0.0236069799037587	reg545	0.0327672887090393
ARF4	543	0	125.619640691105	0.0236069799037587	reg550	0.0201148137729051
TBC1D23	2135	0	147.260151674207	0.0236069799037587	reg593	0.0308650391019596
CCDC80	3008	1	163.106061297924	0.0236069799037587	reg605	0.00512142496839235
ABTB1	1437	0	123.740687240005	0.0236069799037587	reg620	0.00385313322661562
SLC35G2	1239	0	144.351518640945	0.0236069799037587	reg629	0.0187016767834772
ZIC4	1254	0	225.002616887762	0.0236069799037587	reg640	0.0019508112776898
MLF1	991	1	127.258856340664	0.0236069799037587	reg651	0.0336938072838945
RPL22L1	438	0	143.345284188185	0.0236069799037587	reg663	0.0105707178853535
ADIPOQ	735	0	147.039159596032	0.0236069799037587	reg679	0.00750723281539579
NRROS	2079	1	242.384020147619	0.0236069799037587	reg688	0.00723185774522639
NCBP2	495	0	242.384020147619	0.0236069799037587	reg688	0.0156021432640556
GRK4	2090	0	250.63728021167	0.0236069799037587	reg694	0.00628823642389145
RGS12	4514	2	250.63728021167	0.0236069799037587	reg694	0.0196925958738194
JAKMIP1	2571	2	164.593756508867	0.0236069799037587	reg697	0.0481309061485338
AC093323.1	408	0	164.593756508867	0.0236069799037587	reg697	4.93582671460585e-06
KLF3	1042	0	123.037411202441	0.0236069799037587	reg729	0.0197459322030666
GSX2	915	0	145.115865730792	0.0236069799037587	reg745	0.0106855898489811
CLOCK	2541	0	168.969104206906	0.0236069799037587	reg746	0.0129940613085736
C4orf26	531	0	110.512888403427	0.0236069799037587	reg768	0.0118850339834983
SEC31A	3981	0	136.187250439639	0.0236069799037587	reg774	0.00605114568515482
SLC10A6	1134	0	114.896872357874	0.0236069799037587	reg778	0.0490756959464936
PDHA2	1167	1	152.102701855277	0.0236069799037587	reg787	0.0359439139693907
ADH4	1218	0	170.522315560459	0.0236069799037587	reg791	0.0250510085423156
PCDH10	3123	1	217.03816427931	0.0236069799037587	reg825	0.0271326063646101
FBXW7	2618	0	129.776252517261	0.0236069799037587	reg844	0.016571153332029
ZDHHC11	1523	0	313.438527981564	0.0236069799037587	reg883	0.0300418552961265
IRX1	1443	2	252.751268780071	0.0236069799037587	reg885	0.0215166791402363
C5orf49	444	0	186.523463153802	0.0236069799037587	reg889	0.0252761434018313
MOCS2	757	0	132.874533587495	0.0236069799037587	reg934	0.0430777851284985
PRDM6	1788	0	116.038606435348	0.0236069799037587	reg1004	0.0175167375789536
RAD50	4211	2	141.697014025958	0.0236069799037587	reg1013	0.0250089177863637
GFRA3	1203	0	128.590811821506	0.0236069799037587	reg1019	0.043177117004521
PCDHA10	2847	1	189.10111465264	0.0236069799037587	reg1022	0.0450707856673018
AC005609.1	579	0	189.10111465264	0.0236069799037587	reg1022	0.0453997361438606
PCDHA11	2850	2	189.10111465264	0.0236069799037587	reg1022	0.0189072395877602
PCDHA12	2826	0	189.10111465264	0.0236069799037587	reg1022	0.00685548757052525
PCDHB5	2388	1	189.10111465264	0.0236069799037587	reg1022	0.00220006002901471
PCDHGA2	2799	0	189.10111465264	0.0236069799037587	reg1022	0.0170946656849101
KCTD16	1287	0	137.915892617862	0.0236069799037587	reg1025	0.00550617511078979
PROP1	681	1	192.701526988443	0.0236069799037587	reg1059	0.0185361543198327
GNB2L1	1707	0	131.238868582667	0.0236069799037587	reg1061	0.0340228413921237
SLC17A1	1404	0	118.463385693708	0.0236069799037587	reg1087	0.0483019836680063
HIST1H4A	312	0	216.414023620093	0.0236069799037587	reg1088	0.00302178567563293
HIST1H4G	297	0	216.414023620093	0.0236069799037587	reg1088	0.0299092968617844
HIST1H2BJ	422	0	179.271250714245	0.0236069799037587	reg1089	0.0170914201842023
OR2J1	939	0	185.443745336915	0.0236069799037587	reg1091	5.39060797911789e-05
DAAM2	3348	0	120.562230014444	0.0236069799037587	reg1101	0.0333264448824813
CRISP1	750	0	175.938232026648	0.0236069799037587	reg1111	0.0184837481214534
KHDRBS2	1050	1	265.797986067329	0.0236069799037587	reg1125	0.034106660932119
SMAP1	1686	0	160.139039254411	0.0236069799037587	reg1133	0.00344887143877519
OOEP	475	0	175.135467464579	0.0236069799037587	reg1136	0.0218334588462552
TTK	2574	0	118.992751536526	0.0236069799037587	reg1142	0.00776799489766561
TBX18	1898	0	215.914910416369	0.0236069799037587	reg1147	0.0218983281821101
SPACA1	885	0	164.342453529759	0.0236069799037587	reg1150	0.000139955941829441
KLHL32	1942	0	139.810788090059	0.0236069799037587	reg1159	0.0180946210286248
MCHR2	1023	0	163.607362594746	0.0236069799037587	reg1162	0.0140852918377387
NMBR	1173	0	159.839207850575	0.0236069799037587	reg1204	0.00339187278650421
