chr	start	stops	name	p-value
chr1	145002612	145003060	Ultra-Sensitive	0.00351024169944365
chr1	145064556	145066122	Ultra-Sensitive	0.0371450348279925
chr1	145065393	145066179	Ultra-Sensitive	0.0103419330189335
chr1	145065525	145065963	Ultra-Sensitive	0.00335964897740365
chr1	145084632	145085809	Ultra-Sensitive	0.0220522634475589
chr1	145109266	145111101	Ultra-Sensitive	0.0492900269141321
chr1	145396825	145397171	Ultra-Sensitive	0.00212176838892508
chr11	59327731	59328090	Ultra-Sensitive	0.000113153826521859
chr1	161500046	161500410	Ultra-Sensitive	0.00347368049309785
chr12	56583959	56584297	Ultra-Sensitive	0.00181586189752363
chr12	87120168	87120772	Ultra-Sensitive	0.00964256534214602
chr12	98897817	98898201	Ultra-Sensitive	0.00287482552669386
chr13	45491985	45492330	Ultra-Sensitive	0.00189883353329076
chr15	45490707	45490969	Ultra-Sensitive	0.0489290806655556
chr15	45490716	45490969	Ultra-Sensitive	0.047289267806978
chr15	45493069	45493495	Ultra-Sensitive	0.00319327671105573
chr15	45493069	45493499	Ultra-Sensitive	0.0032518309268399
chr15	79152686	79153079	Ultra-Sensitive	0.00403962210176453
chr16	57334298	57334687	Ultra-Sensitive	4.57318092855201e-05
chr16	57334301	57334690	Ultra-Sensitive	4.57318092855201e-05
chr16	71075866	71076338	Ultra-Sensitive	0.00500571204558237
chr19	45981392	45982404	Ultra-Sensitive	0.0194065075691072
chr19	45981763	45982169	Ultra-Sensitive	0.00340063078087548
chr19	4723870	4724226	Ultra-Sensitive	0.00214331981903969
chr19	4723883	4724248	Ultra-Sensitive	0.00225048107779179
chr19	893202	893659	Ultra-Sensitive	8.91298805657477e-05
chr19	893247	893659	Ultra-Sensitive	6.57183412797836e-05
chr6	26568871	26569264	Ultra-Sensitive	0.00478772237513975
chr6	26568890	26569238	Ultra-Sensitive	0.00378354724682687
chr6	27870185	27870949	Ultra-Sensitive	0.0357643905645462
chr6	27870194	27870974	Ultra-Sensitive	0.037125955453132
chr6	28831351	28831741	Ultra-Sensitive	0.000260910261978773
chr6	28831394	28831741	Ultra-Sensitive	0.000185641250571015
chr6	28848951	28849312	Ultra-Sensitive	0.000208342742089335
chr6	28863940	28864329	Ultra-Sensitive	0.00025896922979589
chr6	28863947	28864308	Ultra-Sensitive	0.000208342742089335
chr8	96281799	96282183	Ultra-Sensitive	4.23598351864081e-06
chr8	96281816	96282187	Ultra-Sensitive	3.70141281667795e-06
chr9	140222259	140222758	Ultra-Sensitive	0.00846751744689218
chr9	35657624	35658292	Ultra-Sensitive	0.00038033664217996
chr9	35657837	35658246	Ultra-Sensitive	9.09045568841886e-05
chrX	18692933	18693307	Ultra-Sensitive	0.00451922330842542
