chr	start	stops	name	p-value
chr1	812300	812450	DHS.MCV-3	0.00366186577062646
chr1	823920	824070	DHS.MCV-1	0.00366186577062646
chr1	939925	940075	DHS.MCV-8	0.00366186577062646
chr1	972260	972410	DHS.MCV-2	0.00366186577062646
chr1	1053420	1053570	DHS.MCV-1	6.81896425983422e-06
chr1	1054045	1054195	DHS.MCV-3	0.00366186577062646
chr1	1058005	1058155	DHS.MCV-4	0.00366186577062646
chr1	1143500	1143650	DHS.MCV-110	0.00366186577062646
chr1	1168960	1169110	DHS.MCV-1	0.00366186577062646
chr1	1294565	1294715	DHS.MCV-3	0.00366186577062646
chr1	1366985	1367135	DHS.MCV-7	0.00366186577062646
chr1	1397780	1397930	DHS.MCV-30	0.00366186577062646
chr1	1552145	1552295	DHS.MCV-26	0.00366186577062646
chr1	1562285	1562435	DHS.MCV-1	0.00366186577062646
chr1	1790760	1790910	DHS.MCV-60	0.00366186577062646
chr1	1809200	1809350	DHS.MCV-2	0.00366186577062646
chr1	2005020	2005170	DHS.MCV-56	6.81896425983422e-06
chr1	2136940	2137090	DHS.MCV-16	0.00366186577062646
chr1	2171780	2171930	DHS.MCV-59	0.00366186577062646
chr1	2173460	2173610	DHS.MCV-7	0.00366186577062646
chr1	2205465	2205615	DHS.MCV-3	0.00366186577062646
chr1	2236165	2236315	DHS.MCV-3	0.00366186577062646
chr1	2251045	2251195	DHS.MCV-1	0.00366186577062646
chr1	2286645	2286795	DHS.MCV-9	0.00366186577062646
chr1	2394900	2395050	DHS.MCV-15	0.00366186577062646
chr1	2397100	2397250	DHS.MCV-3	0.00366186577062646
chr1	2777825	2777975	DHS.MCV-2	0.00366186577062646
chr1	2782305	2782455	DHS.MCV-5	0.00366186577062646
chr1	2853105	2853255	DHS.MCV-2	0.00366186577062646
chr1	2892220	2892370	DHS.MCV-9	0.00366186577062646
chr1	2977205	2977355	DHS.MCV-4	0.00366186577062646
chr1	3006305	3006455	DHS.MCV-2	0.00366186577062646
chr1	3035225	3035375	DHS.MCV-1	0.00366186577062646
chr1	3090260	3090410	DHS.MCV-4	0.00366186577062646
chr1	3182920	3183070	DHS.MCV-3	0.00366186577062646
chr1	3385525	3385675	DHS.MCV-8	0.00366186577062646
chr1	3397425	3397575	DHS.MCV-2	0.00366186577062646
chr1	3687025	3687175	DHS.MCV-1	0.00366186577062646
chr1	4008065	4008215	DHS.MCV-3	0.00370694637385593
chr1	4023385	4023535	DHS.MCV-3	0.00370694637385593
chr1	4059545	4059695	DHS.MCV-14	0.00370694637385593
chr1	4100980	4101130	DHS.MCV-1	0.00370694637385593
chr1	4143845	4143995	DHS.MCV-2	0.00370694637385593
chr1	4200905	4201055	DHS.MCV-3	0.00370694637385593
chr1	4415245	4415395	DHS.MCV-1	0.00370694637385593
chr1	4578625	4578775	DHS.MCV-3	0.00370694637385593
chr1	4723520	4723670	DHS.MCV-2	0.00370694637385593
chr1	4733680	4733830	DHS.MCV-4	0.00370694637385593
chr1	4839525	4839675	DHS.MCV-2	0.00370694637385593
chr1	4861720	4861870	DHS.MCV-6	0.00370694637385593
chr1	5046420	5046570	DHS.MCV-1	0.00370694637385593
