chr	start	stops	name	BRCA	GACA	LICA	LUAD	MB	PA	PRAD
chr10	102372668	102372911	Ultra-conserved	1	1	1	1	1	1	0.0336968498192777
chr10	102373616	102374060	Ultra-conserved	1	0.346801384266821	1	1	1	1	1
chr10	102375099	102375308	Ultra-conserved	1	1	1	1	1	1	1
chr10	102415105	102415566	Ultra-conserved	0.0798508747981932	0.357346462869659	1	1	1	1	1
chr10	102419219	102419583	Ultra-conserved	1	1	1	1	1	1	1
chr10	102447657	102448016	Ultra-conserved	1	1	1	1	1	1	1
chr10	102509434	102509644	Ultra-conserved	1	1	1	1	1	1	1
chr10	102547117	102547325	Ultra-conserved	1	1	1	1	1	1	1
chr10	102567790	102568074	Ultra-conserved	1	1	1	1	1	1	1
chr10	102979179	102979520	Ultra-conserved	1	1	1	1	1	1	1
chr10	103052426	103052698	Ultra-conserved	1	1	1	1	1	1	1
chr10	103082503	103082775	Ultra-conserved	1	1	0.05528802087618	1	1	1	1
chr10	103211434	103211739	Ultra-conserved	0.0508381207830411	1	1	1	1	1	1
chr10	103212038	103212262	Ultra-conserved	1	0.207201857912582	1	1	1	1	1
chr10	103243982	103244214	Ultra-conserved	1	1	1	1	1	1	1
chr10	103245811	103246088	Ultra-conserved	1	1	1	1	1	1	1
chr10	103267030	103267298	Ultra-conserved	1	1	1	1	1	1	1
chr10	114404222	114404451	Ultra-conserved	1	1	1	1	1	1	1
chr10	120074401	120074620	Ultra-conserved	1	1	1	0.061297847808236	1	1	1
chr10	120076536	120076858	Ultra-conserved	1	1	1	1	1	1	1
chr10	121340173	121340404	Ultra-conserved	1	1	0.0554454587356567	1	1	1	1
chr10	124852202	124852404	Ultra-conserved	1	1	1	1	1	1	1
chr10	124852614	124852849	Ultra-conserved	1	1	1	1	1	1	1
chr10	126905564	126905804	Ultra-conserved	1	1	1	1	1	1	1
chr10	131446337	131446555	Ultra-conserved	1	1	1	1	1	1	1
chr10	131691585	131691906	Ultra-conserved	1	0.371226826390564	1	1	1	0.00147651846173614	1
chr10	50604756	50605033	Ultra-conserved	1	1	1	1	1	1	1
chr10	50606855	50607064	Ultra-conserved	1	1	1	1	1	1	1
chr10	70515990	70516222	Ultra-conserved	1	1	1	1	1	1	1
chr10	77139023	77139275	Ultra-conserved	1	1	1	1	0.00646848673963928	1	1
chr10	77495942	77496199	Ultra-conserved	1	1	1	1	1	1	1
chr10	77727182	77727405	Ultra-conserved	1	0.210859251253658	1	1	1	1	1
chr10	77990538	77990792	Ultra-conserved	1	1	1	1	1	1	1
chr10	78042281	78042487	Ultra-conserved	0.052325952718328	1	1	1	1	1	1
chr10	78283623	78283854	Ultra-conserved	1	1	1	1	1	1	1
chr10	98715454	98715671	Ultra-conserved	1	1	1	1	1	1	1
chr1	10597696	10597903	Ultra-conserved	1	1	1	1	1	1	1
chr1	10732542	10732749	Ultra-conserved	1	0.208000078891471	1	1	1	1	1
chr1	10751164	10751389	Ultra-conserved	1	0.223881426408711	1	1	1	1	1
chr1	10758248	10758607	Ultra-conserved	1	1	0.0623748339740595	1	1	1	1
chr1	10781350	10781564	Ultra-conserved	1	0.000000000000211001364010093	1	1	1	1	1
chr1	10795120	10795421	Ultra-conserved	1	1	1	1	1	1	1
chr1	10836132	10836388	Ultra-conserved	1	1	1	1	1	1	1
chr1	10851817	10852033	Ultra-conserved	1	1	0.0380152164844754	1	1	1	0.0275117844808829
chr1	109240427	109240691	Ultra-conserved	1	1	1	1	1	1	1
chr1	10925409	10925611	Ultra-conserved	1	1	1	1	1	1	1
chr1	10965573	10965848	Ultra-conserved	1	1	1	1	1	1	1
chr11	116232689	116233026	Ultra-conserved	1	1	1	1	1	1	1
chr11	124644646	124644916	Ultra-conserved	1	1	1	1	1	1	1
chr11	131867944	131868166	Ultra-conserved	1	1	1	0.18876713545031	1	1	1
chr1	115280052	115280254	Ultra-conserved	1	1	0.0644456198267546	1	1	1	1
chr11	15624423	15624627	Ultra-conserved	1	1	1	1	1	1	1
chr11	16316350	16316573	Ultra-conserved	1	1	1	1	1	1	1
chr11	16475335	16475535	Ultra-conserved	1	0.170988327256698	1	1	1	1	1
chr11	30557520	30557745	Ultra-conserved	1	1	1	1	1	1	1
chr11	31685643	31685878	Ultra-conserved	1	0.26380834650992	1	1	1	1	1
chr11	31785679	31785994	Ultra-conserved	1	1	1	1	1	1	1
chr11	31786283	31786551	Ultra-conserved	1	1	1	1	1	1	1
chr11	31825662	31825893	Ultra-conserved	0.0485980126949004	1	1	1	1	1	1
chr11	32197991	32198298	Ultra-conserved	1	1	1	1	1	1	1
chr1	163939954	163940178	Ultra-conserved	1	0.0312289159190573	1	1	1	1	1
chr1	164023534	164023890	Ultra-conserved	1	1	1	0.1842304328646	1	1	1
chr1	164637961	164638208	Ultra-conserved	1	1	1	1	1	1	1
chr11	66393895	66394102	Ultra-conserved	1	0.190261878327182	1	1	1	1	1
chr11	8304694	8305010	Ultra-conserved	1	1	1	1	1	1	1
chr11	8317833	8318168	Ultra-conserved	1	1	1	0.00557347605703598	1	1	0.043495231286856
chr11	83195158	83195376	Ultra-conserved	1	0.239582903668249	1	1	1	1	1
chr12	106976509	106976711	Ultra-conserved	1	1	1	1	1	1	1
chr1	213598766	213598982	Ultra-conserved	0.0543304771551758	0.223296442026728	1	1	1	1	1
chr1	215889031	215889297	Ultra-conserved	1	1	1	1	1	1	1
chr12	16715413	16715627	Ultra-conserved	1	0.226359877711325	1	1	1	1	1
chr12	24292005	24292256	Ultra-conserved	1	0.313407539453723	1	1	1	1	1
chr12	41749178	41749396	Ultra-conserved	1	0.238968767858072	0.0612996982245537	1	1	1	1
chr1	243896034	243896291	Ultra-conserved	1	0.0388547288784839	1	1	1	1	1
chr1	244217706	244217936	Ultra-conserved	1	1	1	1	1	1	1
chr1	245016685	245016888	Ultra-conserved	1	1	1	1	1	1	1
chr1	245017602	245017819	Ultra-conserved	1	1	1	1	1	1	0.00000472739241160792
chr12	53858488	53858711	Ultra-conserved	1	1	1	1	1	1	1
chr12	54071095	54071347	Ultra-conserved	1	1	1	1	1	1	1
chr12	54090831	54091090	Ultra-conserved	1	1	1	1	1	1	1
chr12	54382917	54383231	Ultra-conserved	1	1	1	1	1	1	1
chr12	54410493	54410720	Ultra-conserved	1	1	1	1	1	1	1
chr12	54422440	54422828	Ultra-conserved	1	1	1	1	1	1	1
chr12	54426885	54427139	Ultra-conserved	1	1	1	1	1	1	1
chr12	54447599	54447900	Ultra-conserved	1	1	1	1	1	1	1
chr13	112716336	112716578	Ultra-conserved	1	1	1	1	1	1	1
chr1	35650226	35650427	Ultra-conserved	1	1	1	1	1	1	1
chr1	36359189	36359426	Ultra-conserved	1	1	1	1	1	1	1
chr13	71793987	71794196	Ultra-conserved	1	1	1	1	1	1	1
chr13	72063356	72063596	Ultra-conserved	1	1	1	1	1	1	1
chr13	72121301	72121504	Ultra-conserved	1	1	1	1	1	1	1
chr13	72256099	72256339	Ultra-conserved	1	1	1	1	1	1	1
