chr	start	stops	name	p-value
chr10	115742100	115743800	DRM:AFAP1L2(;)	0.00406536977423938
chr10	115742100	115743800	DRM:C10orf81(;)	0.00406536977423938
chr10	115742100	115743800	DRM:TDRD1(;)	0.00406536977423938
chr11	1356600	1358900	DRM:AC068580.3(;)	0.00477302953849255
chr11	1356600	1358900	DRM:CTSD(PPI;)	0.00477302953849255
chr11	1356600	1358900	DRM:IRF7(;)	0.00477302953849255
chr11	1356600	1358900	DRM:LSP1(;REG)	0.00477302953849255
chr11	1356600	1358900	DRM:PKP3(;)	0.00477302953849255
chr11	1356600	1358900	DRM:SYT8(;)	0.00477302953849255
chr12	27976500	27978100	DRM:PTHLH(;)	0.00446326972865091
chr12	53474500	53474900	DRM:ITGB7(PPI;)	0.00094935037976523
chr12	54760900	54766100	DRM:HOXC10(;REG)	0.0150724499738998
chr12	54760900	54766100	DRM:NCKAP1L(;)	0.0150724499738998
chr16	15263000	15263200	DRM:PDXDC1(;)	0.000475205986364113
chr16	81807400	81808400	DRM:SDR42E1(;)	0.00282345862810485
chr16	89098100	89099200	DRM:FANCA(PPI;)	0.00309260504016513
chr16	89098100	89099200	DRM:TRAPPC2L(;REG)	0.00309260504016513
chr17	39809400	39812800	DRM:KRT17(;)	0.0172527425474281
chr17	41744200	41744500	DRM:BRCA1(PPI;REG)	0.000888740767427919
chr17	41744200	41744500	DRM:FZD2(PPI;)	0.000888740767427919
chr17	45821400	45821700	DRM:MYL4(;)	0.000768639885494552
chr17	58429400	58430700	DRM:TMEM49(;REG)	0.00191509734421274
chr17	72270000	72271600	DRM:HN1(;)	0.00323864306970184
chr17	72270000	72271600	DRM:TTYH2(;)	0.00323864306970184
chr17	79314300	79321400	DRM:AATK(;)	0.0212471118851059
chr18	6606500	6607000	DRM:LAMA1(PPI;)	0.00246075161610007
chr19	10887600	10888300	DRM:TYK2(PPI;REG)	0.00246359342563391
chr19	35546300	35547600	DRM:AC079199.1(;)	0.0051300689532376
chr19	35546300	35547600	DRM:CD22(;)	0.0051300689532376
chr19	35546300	35547600	DRM:DMKN(;)	0.0051300689532376
chr19	35546300	35547600	DRM:HCST(;)	0.0051300689532376
chr19	35546300	35547600	DRM:HSPB6(;)	0.0051300689532376
chr19	35546300	35547600	DRM:SBSN(;)	0.0051300689532376
chr19	35546300	35547600	DRM:TMEM149(;)	0.0051300689532376
chr19	35546300	35547600	DRM:ZBTB32(;)	0.0051300689532376
chr19	39101700	39102100	DRM:MAP4K1(PPI;)	0.000923139912042448
chr19	7708300	7709500	DRM:C3(PPI;REG)	0.00586633352242168
chr2	150148200	150149100	DRM:LYPD6B(;)	0.00275054980574466
chr2	61887600	61888400	DRM:XPO1(PPI;)	0.00193452819179607
chr4	1595200	1596200	DRM:FGFR3(PPI;)	0.00288682728830611
chr4	1595200	1596200	DRM:SPON2(;)	0.00288682728830611
chr6	113503500	113504300	DRM:LAMA4(PPI;)	0.00260184345832103
chr6	139747700	139748400	DRM:CITED2(;REG)	0.00308287690238551
chr6	142606200	142607500	DRM:AIG1(;)	0.00635333545825015
chr6	33943400	33944300	DRM:C6orf106(;)	0.00334862059933217
chr6	33943400	33944300	DRM:HLA-DPA1(;)	0.00334862059933217
chr6	33943400	33944300	DRM:HLA-DPB1(;)	0.00334862059933217
chr6	33943400	33944300	DRM:HMGA1(PPI;REG)	0.00334862059933217
chr6	33943400	33944300	DRM:IP6K3(;)	0.00334862059933217
chr6	33943400	33944300	DRM:PACSIN1(PPI;)	0.00334862059933217
chr6	33943400	33944300	DRM:RGL2(;)	0.00334862059933217
chr6	33943400	33944300	DRM:SYNGAP1(;)	0.00334862059933217
chr7	1705500	1711300	DRM:PSMG3(;)	0.0127308279291027
chr8	142883800	142884100	DRM:LY6K(;)	0.00120905548533284
