chr	start	stops	name	BRCA	GACA	LICA	LUAD	MB	PA	PRAD
chr10	100124300	100124900	DRM:GOLGA7B(;)	1	1	1	1	1	1	1
chr10	102633100	102633300	DRM:BTRC(PPI;)	1	0.174714057568266	1	1	1	1	1
chr10	103043500	103046400	DRM:C10orf76(;)	0.390152090112396	0.798414059022691	0.453592377927176	0.0322286937454516	1	1	1
chr10	10335500	10336000	DRM:CUGBP2(;)	1	1	1	1	1	1	1
chr10	104512800	104513500	DRM:FBXL15(;)	1	1	1	1	1	1	1
chr10	10562500	10563300	DRM:CUGBP2(;)	1	0.752575334854525	1	0.345365311393656	1	1	1
chr10	10570300	10570600	DRM:CUGBP2(;)	1	0.408847887442375	1	1	1	1	1
chr10	105863900	105864000	DRM:COL17A1(;)	1	1	1	1	1	1	1
chr10	106349800	106349900	DRM:COL17A1(;)	1	0.135654455571394	1	1	1	1	1
chr10	108295200	108295600	DRM:SORCS1(;)	1	1	1	1	1	1	1
chr10	10897200	10897500	DRM:CUGBP2(;)	0.0744752300467448	1	1	1	1	1	1
chr10	112375900	112376900	DRM:NCRNA00081(;)	0.195492820913532	0.0165295495509678	1	1	1	1	1
chr10	113841700	113842700	DRM:ACSL5(;REG)	1	1	1	1	1	1	1
chr10	113842900	113843700	DRM:ACSL5(;REG)	1	0.00483901602447544	1	1	1	1	1
chr10	113851200	113853100	DRM:ACSL5(;REG)	1	0.457101318673702	0.0136250984296317	1	1	1	1
chr10	113858400	113859200	DRM:ACSL5(;REG)	1	1	1	1	1	1	1
chr10	11409000	11409100	DRM:CUGBP2(;)	1	1	1	1	1	1	1
chr10	114591600	114593000	DRM:ACSL5(;REG)	0.235382624374936	0.0701386593306711	1	1	1	1	1
chr10	114594400	114594700	DRM:C10orf81(;)	1	1	1	1	1	1	1
chr10	114675900	114676500	DRM:ACSL5(;REG)	1	1	1	1	1	1	1
chr10	11482000	11483300	DRM:CUGBP2(;)	1	0.00261190152929715	0.31917910508638	1	1	1	1
chr10	115013000	115013100	DRM:ACSL5(;REG)	1	1	1	1	1	1	1
chr10	115717900	115722000	DRM:AFAP1L2(;)	0.525843191751769	0.976699279025642	0.516037635692053	0.566420974826184	0.123657717540912	1	1
chr10	115725400	115726000	DRM:AFAP1L2(;)	1	1	1	1	1	1	1
chr10	115725400	115726000	DRM:C10orf81(;)	1	1	1	1	1	1	1
chr10	115725400	115726000	DRM:TDRD1(;)	1	1	1	1	1	1	1
chr10	115726300	115726800	DRM:AFAP1L2(;)	1	1	1	1	1	1	1
chr10	115726300	115726800	DRM:C10orf81(;)	1	1	1	1	1	1	1
chr10	115726300	115726800	DRM:TDRD1(;)	1	1	1	1	1	1	1
chr10	115730500	115730700	DRM:AFAP1L2(;)	1	1	1	1	1	1	1
chr10	115730500	115730700	DRM:C10orf81(;)	1	1	1	1	1	1	1
chr10	115730500	115730700	DRM:TDRD1(;)	1	1	1	1	1	1	1
chr10	115742100	115743800	DRM:AFAP1L2(;)	0.266820780353846	0.792635551500431	1	1	1	0.00406536977423938	1
chr10	115742100	115743800	DRM:C10orf81(;)	0.266820780353846	0.792635551500431	1	1	1	0.00406536977423938	1
chr10	115742100	115743800	DRM:TDRD1(;)	0.266820780353846	0.792635551500431	1	1	1	0.00406536977423938	1
chr10	115750900	115751100	DRM:AFAP1L2(;)	1	1	1	1	1	1	1
chr10	115750900	115751100	DRM:C10orf81(;)	1	1	1	1	1	1	1
chr10	115750900	115751100	DRM:TDRD1(;)	1	1	1	1	1	1	1
chr10	115830500	115830800	DRM:AFAP1L2(;)	1	1	1	1	1	1	1
chr10	115833300	115834000	DRM:AFAP1L2(;)	1	0.139680494158282	1	1	1	1	1
chr10	115854500	115856900	DRM:AFAP1L2(;)	0.354523766884638	0.386317608737595	0.346621423051599	1	1	1	1
chr10	115854500	115856900	DRM:C10orf81(;)	0.354523766884638	0.386317608737595	0.346621423051599	1	1	1	1
chr10	115854500	115856900	DRM:TDRD1(;)	0.354523766884638	0.386317608737595	0.346621423051599	1	1	1	1
chr10	115858500	115859500	DRM:AFAP1L2(;)	1	1	1	0.185904560932246	1	1	1
chr10	115858500	115859500	DRM:C10orf81(;)	1	1	1	0.185904560932246	1	1	1
chr10	115858500	115859500	DRM:TDRD1(;)	1	1	1	0.185904560932246	1	1	1
chr10	11667000	11667500	DRM:CUGBP2(;)	0.124339138262765	1	0.137636753847489	1	1	1	1
chr10	116671200	116671300	DRM:AFAP1L2(;)	1	0.0988619403973871	1	1	1	1	1
chr10	116671200	116671300	DRM:TDRD1(;)	1	0.0988619403973871	1	1	1	1	1
chr10	116782400	116782900	DRM:AFAP1L2(;)	1	1	0.0967703448946575	1	1	1	0.0544787278308606
chr10	116782400	116782900	DRM:TDRD1(;)	1	1	0.0967703448946575	1	1	1	0.0544787278308606
chr10	11705500	11707100	DRM:CUGBP2(;)	1	0.638737650989793	0.376822623364591	1	1	1	1
chr10	11709800	11710000	DRM:CUGBP2(;)	1	1	1	0.00154733089591722	1	1	1
chr10	11714600	11714800	DRM:CUGBP2(;)	1	1	1	1	1	1	1
chr10	11714600	11714800	DRM:SEC61A2(;)	1	1	1	1	1	1	1
chr10	11719200	11720700	DRM:CUGBP2(;)	0.328057323837595	0.0193151103594419	0.358178603951493	0.341000611838697	1	1	1
chr10	11759700	11760600	DRM:CUGBP2(;)	1	0.705333508477451	1	0.0273581311316006	1	1	1
chr10	117755600	117755900	DRM:GFRA1(;)	1	1	1	0.158546508819058	1	1	1
chr10	118530600	118531300	DRM:PNLIPRP3(;)	1	1	1	1	1	1	1
chr10	118530600	118531300	DRM:SLC18A2(;)	1	1	1	1	1	1	1
chr10	118560300	118560500	DRM:GFRA1(;)	1	1	1	1	1	1	1
chr10	118854400	118854800	DRM:GFRA1(;)	1	1	1	0.0172811211454018	1	1	1
chr10	122037600	122038000	DRM:BRWD2(;)	1	1	1	1	1	1	1
chr10	122404100	122404800	DRM:BRWD2(;)	1	1	0.212804231149361	1	1	1	1
chr10	122404100	122404800	DRM:FGFR2(PPI;)	1	1	0.212804231149361	1	1	1	1
chr10	122587000	122587600	DRM:FGFR2(PPI;)	1	1	1	1	1	1	1
chr10	122823300	122823900	DRM:FGFR2(PPI;)	1	1	1	1	1	1	1
chr10	123048900	123049400	DRM:FGFR2(PPI;)	1	1	1	1	1	1	1
chr10	12305300	12308600	DRM:OPTN(;)	0.500612080244881	0.92785499023226	1	0.673905280892365	1	1	1
chr10	123099600	123100500	DRM:FGFR2(PPI;)	0.167562502921961	1	1	1	1	1	1
chr10	123100900	123101000	DRM:BRWD2(;)	1	1	1	1	1	1	1
chr10	123208600	123209500	DRM:FGFR2(PPI;)	1	1	1	1	1	1	1
chr10	124112200	124113600	DRM:BUB3(PPI;REG)	0.248769591263722	0.407798450902375	0.258151827364479	1	1	1	1
chr10	124844300	124844500	DRM:DMBT1(;)	1	1	1	1	1	1	1
chr10	124844300	124844500	DRM:HTRA1(;)	1	1	1	1	1	1	1
chr10	124877100	124877900	DRM:DMBT1(;)	1	1	1	1	1	1	1
chr10	124877100	124877900	DRM:HTRA1(;)	1	1	1	1	1	1	1
chr10	125034400	125034800	DRM:ACADSB(;)	1	1	0.081879938207408	1	1	1	1
chr10	127227400	127228100	DRM:UROS(;)	1	0.594024647948119	0.232825327293078	1	1	1	1
chr10	128375700	128376200	DRM:FANK1(;REG)	1	1	0.172545560320277	1	1	1	1
chr10	128528000	128528300	DRM:FANK1(;REG)	1	1	1	1	1	1	1
chr10	130171400	130172000	DRM:PTPRE(;)	0.174217893089284	1	1	0.361431513960721	1	1	1
chr10	130338400	130340200	DRM:PTPRE(;)	0.436012133152145	0.798172965102009	0.499969680827637	0.735164033322004	1	1	0.289546729063819
chr10	130819900	130820500	DRM:EBF3(PPI;)	1	0.265132327110425	1	1	1	1	1
chr10	132199200	132199600	DRM:EBF3(PPI;)	1	1	1	1	1	1	1
chr10	132343500	132343700	DRM:EBF3(PPI;)	1	1	1	1	1	1	1
chr10	132386100	132386300	DRM:EBF3(PPI;)	1	1	1	1	1	1	1
chr10	132543000	132543200	DRM:EBF3(PPI;)	1	1	1	1	1	1	1
chr10	132645500	132645700	DRM:EBF3(PPI;)	1	1	1	1	1	1	1
chr10	13445500	13447100	DRM:CCDC3(;)	1	1	0.318590676291875	1	1	1	1
chr10	134801400	134801500	DRM:MTG1(;)	1	1	1	1	1	1	1
chr10	134820200	134820300	DRM:TUBGCP2(;)	1	1	1	1	1	1	1
chr10	134822100	134824800	DRM:TUBGCP2(;)	1	1	0.0102218696038721	0.105318646287725	1	1	0.15537656710191
chr10	15520500	15520700	DRM:HSPA14(;)	1	1	1	1	1	1	1
chr10	17333400	17333600	DRM:VIM(PPI;)	1	1	1	0.0915269874238919	1	1	1
chr10	17514900	17516200	DRM:VIM(PPI;)	1	1	0.384366218012616	0.00434220016041388	1	1	1
chr10	17516500	17518400	DRM:VIM(PPI;)	1	0.130016265031503	1	1	1	1	0.27819527757221
chr10	17544500	17545300	DRM:VIM(PPI;)	0.19578740149553	1	0.258337204098046	1	1	1	1
chr10	17546900	17549500	DRM:VIM(PPI;)	1	0.694482623321639	0.619924296350969	0.353626926966926	1	1	1
chr10	1916200	1916400	DRM:ADARB2(;)	1	1	1	1	1	1	1
chr10	21768300	21769100	DRM:SPAG6(;)	1	0.0172699286637049	1	1	1	1	1
chr10	22566800	22567100	DRM:SPAG6(;)	1	1	1	1	1	1	1
chr10	22567300	22567400	DRM:SPAG6(;)	0.0222835470606875	1	1	1	1	1	1
chr10	25100800	25101200	DRM:GPR158(;)	1	0.405650243484738	1	1	1	1	1
chr10	26660900	26662900	DRM:APBB1IP(;)	0.461424671081694	0.754404370570856	0.506366007511117	0.707235864802449	0.109149756560579	1	0.333994864616582
chr10	26660900	26662900	DRM:MASTL(;)	0.461424671081694	0.754404370570856	0.506366007511117	0.707235864802449	0.109149756560579	1	0.333994864616582
chr10	26698000	26698500	DRM:MASTL(;)	0.14377009895337	1	1	1	1	1	1
chr10	27258000	27260200	DRM:APBB1IP(;)	0.376045680216812	0.476730625283128	1	1	1	1	1
